atom1,atom2,epsilon,sigma,comments
o_1,cpp,0.1686,3.664,
o_1,cpa,0.1686,3.664,
o_1,cpm,0.1686,3.664,
o_1,h1,0.0035,1.611,
o_1,cp,0.1686,3.664,
o_1,hc,0.0649,3.3189,
o_1,hn,0.0035,1.611,
o_1,nb,1.1208,2.32,
o_1,c_1,0.1344,3.18,
o_1,ho2,0,1.48,
o_1,nh,0.1889,3.105,
o_1,ct,0.1344,3.1799,
o_1,ow,0.1786,3.0553,
o_1,hw,0,1.48,
o_1,i,0.324,3.3955,
o_1,c=2,0.1344,3.18,
o_1,nt,0.1889,3.105,
o_1,ct,0.21,3.18,
o_1,c=1,0.1344,3.18,
o_1,c=,0.1344,3.18,
o_1,oc,0.1889,2.98,
o_1,na,0.1889,3.105,
o*,hc,0.0638,3.3696,
o*,hw,0.0034,3.2148,
o*,cpa,0.1725,3.6954,
o*,hn,0.0034,3.2148,
o*,o_1,0.27,3.5724,
o*,nb,0.1252,3.8731,
o*,c_0,0.1753,3.4741,
o*,o*,0.274,3.608,
o=,o=,0.21,2.9599,
o=,ho,0,1.4799,
o=,c3,0.1516,3.1798,
o=,o,0.1889,2.9799,
o=,o1=,0.21,2.9599,
o=,h1,0.058,2.7154,
o=,n3m,0.1889,3.1049,
o=,c4,0.1513,3.1799,
o=,c,0.1513,3.1799,
o=,br,0.297,3.2794,
o=,npc,0.1889,3.1049,
o=,c5,0.1344,3.1799,
o=,np,0.1889,3.1049,
o=,o_1,0.21,2.9599,
o=,c_1,0.1344,3.1799,
o=,ho2,0,1.4799,
o=,nh,0.1889,3.1049,
o=,ct,0.1344,3.1798,
o=,ow,0.1786,3.0552,
o=,hw,0,1.4799,
o=,i,0.324,3.3954,
o=,c=2,0.1344,3.1799,
o=,nt,0.1889,3.1049,
o=,ct,0.21,3.1799,
o=,c=1,0.1344,3.1799,
o=,c=,0.1344,3.1799,
o=,oc,0.1889,2.9799,
o=,na,0.1889,3.1049,
o1=,n3m,0.1889,3.105,
o1=,br,0.297,3.2795,
o1=,o1=,0.21,2.96,
o1=,h1,0.058,2.7155,
o1=,cpp,0.1686,3.664,
o1=,hc,0.0615,3.3189,
o1=,cp,0.1686,3.664,
o1=,c4,0.1513,3.18,
o1=,c,0.1513,3.18,
o1=,Ni,0.1513,3.18,
o1=,npc,0.1889,3.105,
o1=,c5,0.1344,3.18,
o1=,np,0.1889,3.105,
o1=,o_1,0.21,2.96,
o1=,c_1,0.1344,3.18,
o1=,ho2,0,1.48,
o1=,nh,0.1889,3.105,
o1=,ct,0.1344,3.1799,
o1=,ow,0.1786,3.0553,
o1=,hw,0,1.48,
o1=,i,0.324,3.3955,
o1=,c=2,0.1344,3.18,
o1=,nt,0.1889,3.105,
o1=,ct,0.21,3.18,
o1=,c=1,0.1344,3.18,
o1=,c=,0.1344,3.18,
o1=,oc,0.1889,2.98,
o1=,na,0.1889,3.105,
o2e,h1,0.0615,3.3189,
o2e,o2e,0.24,3.535,
o2e,n3a,0.1644,3.8484,
o2e,f1p,0.0615,3.3189,
o2e,n2a,0.1644,3.8484,
o2e,p,0.0615,3.3189,
oc,oc,0.17,3,
oc,np,0.0992,3.5527,
oc,nt,0.1248,3.5527,
oc,na,0.17,3.125,
oh,oh,0.2104,3.0665,
oh,o=,0.2102,3.0132,
oh,ho,0,1.5332,
oh,c3,0.1517,3.2331,
oh,o,0.1891,3.0332,
oh,o1=,0.2102,3.0132,
oh,h1,0.058,2.7687,
oh,n3m,0.1891,3.1582,
oh,c4,0.1514,3.2333,
oh,c,0.1514,3.2333,
oh,br,0.2973,3.3327,
oh,npc,0.1891,3.1582,
oh,c5,0.1345,3.2333,
oh,np,0.1891,3.1582,
oh,o_1,0.2102,3.0132,
oh,c_1,0.1345,3.2333,
oh,ho2,0,1.5332,
oh,nh,0.1891,3.1582,
oh,ct,0.1345,3.2331,
oh,ow,0.1788,3.1086,
oh,hw,0,1.5332,
oh,i,0.3243,3.4487,
oh,c=2,0.1345,3.2333,
oh,nt,0.1891,3.1582,
oh,ct,0.2102,3.2333,
oh,c=1,0.1345,3.2333,
oh,c=,0.1345,3.2333,
oh,oc,0.1891,3.0332,
oh,na,0.1891,3.1582,
ow,ow,0.1519,3.1506,
ow,hw,0,1.5753,
ow,i,0.2756,3.4907,
ow,c=2,0.1143,3.2753,
ow,nt,0.1607,3.2003,
ow,ct,0.1786,3.2753,
ow,c=1,0.1143,3.2753,
ow,c=,0.1143,3.2753,
ow,oc,0.1607,3.0753,
ow,na,0.1607,3.2003,
p,p,0.02,2.995,
p,f1p,0.02,2.995,
s,cpa,0.087,3.9105,
s,hc,0.0265,3.6824,
s,o_1,0.1278,3.8202,
